"","scores","predscores","tmhalfsc","opphalfsc","airya","yaca","airyd","yac","psd","patt","comppct","ryd","ratt","rushsd","ypr","int_pct","sack_pct","sack_yd_pct","fum_pct"
"1499",6,20,6,14,2.66666666666667,8.125,56,65,5.84132636907064,21,0.761904761904762,37,15,2.94089933334837,2.46666666666667,0.0476190476190476,0.0454545454545455,-0.318181818181818,0.0540540540540541
"1500",10,17.75,7,6,3.44444444444444,6.14285714285714,62,43,8.34565755348253,18,0.555555555555556,23,16,2.09071608545972,1.4375,0.0555555555555556,0.1,-0.5,0.0555555555555556
"1501",7,18.25,7,24,2.21052631578947,3.88888888888889,42,70,6.85273667960473,19,0.526315789473684,101,7,26.8586625709852,14.4285714285714,0.0526315789473684,0.0952380952380952,-0.761904761904762,0.0357142857142857
"1502",20,16.75,14,7,6.38461538461539,5.5,83,55,13.5531361684298,13,0.615384615384615,63,18,4.86769395550341,3.5,0,0,0,0
"1503",10,21.25,0,6,1.05882352941176,0.263157894736842,18,5,3.38230690505755,17,0.294117647058824,55,12,2.98491578142872,4.58333333333333,0.0588235294117647,0,0,0
"1504",16,17.5,10,14,0.875,2.19047619047619,14,46,4.87339717240448,16,0.5,69,13,5.02891050113266,5.30769230769231,0.125,0.0588235294117647,-0.235294117647059,0
"1505",27,17.25,20,14,4.5,4.1,81,82,17.3034598338662,18,0.666666666666667,19,7,2.43276948084663,2.71428571428571,0,0.1,-0.75,0
"1506",14,18.75,0,17,3.1875,1.63157894736842,51,31,4.50788061668907,16,0.5625,71,13,6.09685145244134,5.46153846153846,0.125,0.0588235294117647,-0.176470588235294,0
"1507",7,15,7,13,0.166666666666667,1.875,1,30,3.26917420765551,6,0.666666666666667,82,17,3.74535467758391,4.82352941176471,0,0.25,-2.5,0
"1508",14,22.25,0,24,1.125,0.444444444444444,9,8,3.39934634239519,8,0.375,46,12,3.50792752997486,3.83333333333333,0.125,0.111111111111111,-0.666666666666667,0.0476190476190476
"1509",14,17.5,7,0,11.8,0.578947368421053,59,11,17.0163320241336,5,0.6,90,14,12.6982242049502,6.42857142857143,0,0.285714285714286,-1.14285714285714,0
"1510",13,19,6,21,6.90909090909091,0.5,76,11,6.7515430335097,11,0.545454545454545,33,12,4.28417631134232,2.75,0.272727272727273,0,0,0.0434782608695652
"1511",17,12,10,14,5,2.93333333333333,70,44,6.04841577054135,14,0.857142857142857,79,15,5.97178551374898,5.26666666666667,0,0,0,0
"1512",20,20.25,10,0,2.33333333333333,12,56,60,7.67072356430604,24,0.416666666666667,80,21,3.83739802245824,3.80952380952381,0.0833333333333333,0,0,0
"1513",27,22.5,10,3,4.75,4.27272727272727,95,47,5.36490654366152,20,0.75,49,13,4.0601979139682,3.76923076923077,0,0,0,0
"1514",31,16.75,14,10,5.8125,3.125,93,50,8.27103379270089,16,0.625,60,13,5.99407991962405,4.61538461538461,0.0625,0,0,0
"1515",10,15,10,15,3.52631578947368,2.1875,67,35,5.23076923076923,19,0.684210526315789,57,13,6.42756637207704,4.38461538461539,0,0,0,0
"1516",30,14.25,16,17,3.5,4.08333333333333,56,49,5.94464826337157,16,0.6875,106,19,5.15359649048154,5.57894736842105,0,0.0588235294117647,-0.411764705882353,0
"1517",29,20.25,10,10,6.25,0.35,25,7,5.79271573232759,4,0.75,54,17,3.71381038062696,3.17647058823529,0,0.2,-1.6,0
"1518",38,18,28,6,10,3.13333333333333,130,47,14.4816783649017,13,0.846153846153846,67,12,7.39885501652489,5.58333333333333,0.0769230769230769,0,0,0
"1519",14,17.75,14,10,1.53333333333333,3.83333333333333,23,92,5.45371942398539,15,0.8,29,8,3.87096564180051,3.625,0.0666666666666667,0.0625,-0.4375,0.0416666666666667
"1520",20,19.75,10,13,4.78947368421053,5.76190476190476,91,121,21.190930974253,19,0.631578947368421,23,9,1.89215404065849,2.55555555555556,0,0.05,-0.1,0.0344827586206897
"1521",26,15.75,14,21,3.92307692307692,15,102,135,6.02489167768941,26,0.807692307692308,39,9,4.29469957557504,4.33333333333333,0.0384615384615385,0.103448275862069,-0.793103448275862,0.0526315789473684
"1522",28,26.5,14,14,3.83333333333333,4.45454545454545,69,49,5.56409774118584,18,0.777777777777778,23,10,3.52278299076171,2.3,0,0,0,0.0357142857142857
"1523",14,15.75,7,10,4.625,1.8,37,45,20.1556443707464,8,0.5,35,10,3.29393381840012,3.5,0,0.2,-0.9,0
"1524",3,20.25,0,3,-0.363636363636364,3.28571428571429,-4,46,2.53722289127305,11,0.727272727272727,24,6,2.94392028877595,4,0.0909090909090909,0.45,-2.95,0.115384615384615
"1525",31,23.75,14,14,2.63157894736842,4.11764705882353,50,70,7.88669766125214,19,0.526315789473684,94,13,9.59289678038147,7.23076923076923,0,0,0,0
"1526",17,16,10,7,5.6,5.5,112,33,9.63044973665184,20,0.65,42,15,3.58143360495021,2.8,0,0.0476190476190476,-0.285714285714286,0.0277777777777778
"1527",10,18.5,7,28,4.55555555555556,1.4,82,14,4.67332857821917,18,0.555555555555556,45,9,3.46410161513775,5,0.111111111111111,0.217391304347826,-1.26086956521739,0
"1528",3,21,3,10,4.45454545454545,1.75,98,35,6.21603195410367,22,0.590909090909091,45,16,4.50303716951126,2.8125,0.0454545454545455,0.0434782608695652,-0.304347826086957,0
"1529",20,26.25,13,10,4.68421052631579,3.82352941176471,89,65,10.6940935269726,19,0.578947368421053,33,10,3.8742741255621,3.3,0.0526315789473684,0,0,0
"1530",17,15.75,7,17,5.6875,2.375,91,38,11.5969823661158,16,0.625,38,10,4.74973683481517,3.8,0,0.0588235294117647,-0.411764705882353,0.037037037037037
"1531",36,19.5,13,13,4.8,2.25,48,27,7.17526131928308,10,0.8,113,17,8.88449526171089,6.64705882352941,0.1,0.166666666666667,-1.08333333333333,0
"1532",23,15,17,3,0.636363636363636,3.16666666666667,7,19,6.1773780845922,11,0.454545454545455,160,20,14.785127662621,8,0.272727272727273,0.0833333333333333,-0.5,0
"1533",20,22.25,6,7,1.88888888888889,2.73333333333333,34,41,5.90903263374528,18,0.333333333333333,110,17,12.4433665156265,6.47058823529412,0,0.0526315789473684,-0.263157894736842,0
"1534",34,18,17,10,5.06666666666667,2,76,36,6.32455532033676,15,0.533333333333333,96,15,7.43684520927165,6.4,0,0.117647058823529,-0.176470588235294,0
"1535",6,19.75,6,24,2.61111111111111,2.54166666666667,47,61,8.4,18,0.555555555555556,65,15,4.25310344206309,4.33333333333333,0,0.0526315789473684,-0.105263157894737,0.0294117647058824
"1536",34,22.75,24,3,5.40909090909091,3.29411764705882,119,56,6.02955682911734,22,0.681818181818182,79,15,6.10427900920512,5.26666666666667,0,0,0,0
"1537",9,19.5,3,6,2,2.71428571428571,20,38,3.53409053624371,10,0.7,84,17,3.22619040018873,4.94117647058824,0,0,0,0.037037037037037
"1538",27,17.75,17,10,4.07142857142857,4.125,57,66,7.79021822544144,14,0.857142857142857,76,10,8.05232885567896,7.6,0,0.176470588235294,-1.05882352941176,0.037037037037037
"1539",23,16,14,13,5.28571428571429,2.22222222222222,111,40,6.85751487086114,21,0.666666666666667,78,15,4.4,5.2,0,0,0,0
"1540",24,23.25,7,10,4.5625,1.61111111111111,73,29,9.14111590562115,16,0.625,48,16,2.5,3,0.125,0.0588235294117647,-0.294117647058824,0
"1541",31,20.75,14,7,2.6,5.6,39,56,6.80932183887099,15,0.866666666666667,98,20,4.49332838773219,4.9,0,0,0,0
"1542",21,21.25,14,7,-1.11764705882353,19.1428571428571,-19,134,7.76427869596649,17,0.764705882352941,75,19,3.85901111154176,3.94736842105263,0.0588235294117647,0,0,0
"1543",20,17.75,10,14,2.95,3.05882352941176,59,52,6.40475084084723,20,0.6,35,14,4.35480030705034,2.5,0,0,0,0
"1544",17,20.75,7,21,2.78947368421053,2.9,53,58,11.9285372112426,19,0.526315789473684,35,12,3.04023939115912,2.91666666666667,0.0526315789473684,0.0952380952380952,-0.619047619047619,0
"1545",10,11.75,3,7,2.7,3.63636363636364,27,40,7.28964257620968,10,0.6,53,15,3.80992854992788,3.53333333333333,0.1,0.166666666666667,-1.33333333333333,0.037037037037037
"1546",17,26.75,3,17,2,2.33333333333333,32,56,7.05183629005441,16,0.5625,32,7,6.43333157097012,4.57142857142857,0.0625,0.238095238095238,-1.57142857142857,0
"1547",31,24.75,17,0,6.85714285714286,2.19047619047619,144,46,11.8745912417971,21,0.619047619047619,108,13,8.70353257533634,8.30769230769231,0.0476190476190476,0,0,0.0294117647058824
"1548",32,19.75,3,24,3.7,1.3125,74,21,3.05324647704485,20,0.55,57,12,3.91843931516958,4.75,0,0.0476190476190476,-0.428571428571429,0.0303030303030303
"1549",20,19,10,10,3.83333333333333,4,69,60,15.2023390013218,18,0.5,52,10,6.80881781221968,5.2,0,0,0,0
"1550",17,18.5,10,14,4.04347826086957,3.05882352941176,93,52,6.96508411250107,23,0.478260869565217,32,12,4.20977698010503,2.66666666666667,0.0434782608695652,0,0,0.0285714285714286
"1551",24,21,17,14,4,1.18181818181818,44,26,10.1434160364686,11,0.545454545454545,130,21,4.68654657726365,6.19047619047619,0,0,0,0
"1552",20,15,13,14,4.15789473684211,12.1666666666667,79,73,6.81999975764038,19,0.578947368421053,59,15,5.7092517509351,3.93333333333333,0,0.05,-0.3,0
"1553",23,21.75,17,16,14,-1.45,224,-29,16.0993012270719,16,0.75,42,11,5.49078868019691,3.81818181818182,0,0.111111111111111,-0.611111111111111,0.0689655172413793
"1554",23,24,13,3,1.125,0.772727272727273,18,17,3.71558280160133,16,0.375,27,9,2.49443825784929,3,0,0.157894736842105,-1.26315789473684,0
"1555",41,21,24,20,4.36363636363636,5.45454545454545,96,60,7.9711016514947,22,0.590909090909091,106,18,4.77131345635198,5.88888888888889,0.0909090909090909,0,0,0.025
"1556",22,21.5,12,14,3.57142857142857,1.25,75,20,5.10481846862679,21,0.619047619047619,63,14,4.03112887414927,4.5,0.0476190476190476,0,0,0
"1557",18,19.75,7,7,3.38461538461538,5.92307692307692,44,77,5.32575218759157,13,0.846153846153846,66,20,3.57910603363466,3.3,0,0,0,0
"1558",10,22.25,3,3,1.66666666666667,1.86363636363636,25,41,6.27596646756823,15,0.466666666666667,61,17,5.25870509144165,3.58823529411765,0,0.0625,-0.375,0
"1559",3,19.25,0,10,2.69230769230769,3.46666666666667,35,52,9.58731801217977,13,0.461538461538462,3,7,2.77010277566647,0.428571428571429,0,0.1875,-1.3125,0
"1560",16,19.5,0,3,3.25,6.33333333333333,52,57,5.83805106492624,16,0.8125,43,11,4.64081782476372,3.90909090909091,0,0.157894736842105,-1.26315789473684,0
"1561",17,22.75,3,17,0.733333333333333,1.3,11,26,2.24499443206436,15,0.333333333333333,65,9,9.57749419533775,7.22222222222222,0.0666666666666667,0.117647058823529,-0.764705882352941,0
"1562",21,18.25,14,17,4.76923076923077,3.04761904761905,62,64,16.4525833837729,13,0.615384615384615,34,9,5.65248770754529,3.77777777777778,0,0.0714285714285714,-0.5,0
"1563",10,18,10,13,3.86666666666667,4.81818181818182,58,53,9.0011573329952,15,0.8,49,10,5.1662365412358,4.9,0.0666666666666667,0.0625,-0.5625,0.0769230769230769
"1564",22,22.25,7,7,3.16666666666667,3.42857142857143,57,72,7.52077013816234,18,0.611111111111111,45,14,5.77158769229022,3.21428571428571,0,0,0,0
"1565",14,23.75,7,17,2.47058823529412,6.64285714285714,42,93,8.26135582092915,17,0.588235294117647,36,13,2.51621957443017,2.76923076923077,0,0.0555555555555556,-0.5,0.032258064516129
"1566",29,26.25,14,20,8.63636363636364,7.27272727272727,95,80,15.0748134316813,11,0.909090909090909,44,11,3.24737656354395,4,0,0.0833333333333333,-0.416666666666667,0.0434782608695652
"1567",24,22,17,16,3.44,7.08333333333333,86,85,7.9599692908397,25,0.72,38,10,2.03960780543711,3.8,0.04,0.0384615384615385,-0.192307692307692,0
"1568",41,24,35,0,6.61904761904762,4.89473684210526,139,93,10.4540517136579,21,0.80952380952381,67,17,3.42088031730558,3.94117647058824,0,0,0,0.0263157894736842
"1569",27,23.5,20,7,3.55,4.86666666666667,71,73,9.09810475890895,20,0.7,47,12,7.81513844336035,3.91666666666667,0,0,0,0.0625
"1570",21,21.5,0,10,2.75,0.321428571428571,22,9,4.62168800331654,8,0.625,46,8,6.09815545882523,5.75,0,0,0,0
"1571",13,21.25,10,14,3.69230769230769,2.85,48,57,15.0332963783729,13,0.692307692307692,58,14,5.64240504518043,4.14285714285714,0,0,0,0.037037037037037
"1572",17,21,10,10,1.1,1.52631578947368,22,29,3.19722101554181,20,0.45,75,16,5.70875150536437,4.6875,0,0,0,0.0277777777777778
"1573",39,20.25,10,3,5.2,2.63157894736842,130,50,5.80120498161842,25,0.68,31,7,5.28764443523478,4.42857142857143,0,0,0,0
"1574",59,23.5,45,14,8.5,6.9375,153,111,23.0212856251934,18,0.777777777777778,162,18,11.1604460285221,9,0,0.0526315789473684,-0.0526315789473684,0
"1575",16,19,6,0,1.5625,5,25,65,3.63318042491699,16,0.625,74,17,6.30537750393488,4.35294117647059,0.0625,0.0588235294117647,-0.529411764705882,0.0294117647058824
"1576",37,25.25,17,3,8.72222222222222,5.09090909090909,157,56,13.9764031048764,18,0.888888888888889,52,16,2.61007662722764,3.25,0,0.0526315789473684,-0.315789473684211,0.0857142857142857
"1577",19,18.75,10,7,2.56,6.41666666666667,64,77,4.32028007710129,25,0.76,41,11,4.02471702203248,3.72727272727273,0,0.0740740740740741,-0.481481481481481,0
"1578",31,24,17,3,4.45454545454545,5.29411764705882,98,90,12.7879088300198,22,0.636363636363636,28,8,1.80277563773199,3.5,0,0.0833333333333333,-0.625,0
"1579",28,22.75,14,21,4.92307692307692,6.2,128,93,8.0603678009054,26,0.730769230769231,9,10,2.2561028345357,0.9,0.0384615384615385,0,0,0
"1580",27,19.75,7,13,1.76470588235294,3.9375,30,63,6.76592771006148,17,0.529411764705882,66,17,4.73885507320537,3.88235294117647,0,0.0555555555555556,-0.444444444444444,0
"1581",3,17,3,21,3.76923076923077,0.631578947368421,49,12,5.11262055005932,13,0.461538461538462,11,8,2.59506743650334,1.375,0,0.1875,-0.9375,0.125
"1582",21,19,7,0,0.272727272727273,4.375,3,35,2.93938769133981,11,0.454545454545455,101,23,3.00346365898618,4.39130434782609,0,0.0833333333333333,-0.25,0
"1583",34,23.5,16,10,4.85714285714286,3.17647058823529,102,54,6.27571632442189,21,0.619047619047619,43,13,2.89255318107126,3.30769230769231,0,0,0,0
